students,id,java.lang.String,true,DobIdSalaryIndex,Octree,40-0000,61-9999
students,gpa,java.lang.double,false,AgeGpaNameIndex,Octree,0.7,4.0
students,age,java.lang.Integer,false,AgeGpaNameIndex,Octree,0,100
students,name,java.lang.String,false,AgeGpaNameIndex,Octree,aaaaaaaaaaa,zzzzzzzzzzz
students,salary,java.lang.double,false,DobIdSalaryIndex,Octree,1000.0,10000000.0
students,dob,java.util.Date,false,DobIdSalaryIndex,Octree,1900-01-01,2023-05-12
courses,date_added,java.util.Date,true,null,null,1901-01-01,2020-12-31
courses,hours,java.lang.Integer,false,null,null,1,24
courses,course_id,java.lang.String,false,null,null,0000,9999
courses,course_name,java.lang.String,false,null,null,aaaaaa,zzzzzz
transcripts,gpa,java.lang.Double,true,Course_nameGpaStudent_idIndex,Octree,0.7,5.0
transcripts,date_passed,java.util.Date,false,null,null,1990-01-01,2020-12-31
transcripts,course_name,java.lang.String,false,Course_nameGpaStudent_idIndex,Octree,aaaaaa,zzzzzz
transcripts,student_id,java.lang.String,false,Course_nameGpaStudent_idIndex,Octree,43-0000,99-9999
pcs,pc_id,java.lang.Integer,true,null,null,0,20000
pcs,student_id,java.lang.String,false,null,null,43-0000,99-9999
student,id,java.lang.Integer,true,null,null,0,100
student,age,java.lang.Double,false,AgeDobNameIndex,Octree,0.0,100.0
student,name,java.lang.String,false,AgeDobNameIndex,Octree,aaaaaaaaaaa,zzzzzzzzzzz
student,dob,java.util.Date,false,AgeDobNameIndex,Octree,1900-01-01,2023-05-12
student,id,java.lang.Integer,true,null,null,-2147483648,2147483647
student,gpa,java.lang.double,false,null,null,4.9E-324,1.7976931348623157E308
student,name,java.lang.String,false,null,null,,        
student,id,java.lang.Integer,true,null,null,-2147483648,2147483647
student,gpa,java.lang.double,false,null,null,4.9E-324,1.7976931348623157E308
student,name,java.lang.String,false,null,null,,        
